Stand	Plot	TreeID	x_DBH_local_TLS	y_DBH_local_TLS	dbh_TLS	h_TLS	cra_TLS	dbh_field	h_field
5	5_4	1231	2.353643	-1.365063	25.343985	20.96945	24.171	26.4	21.7
5	5_4	1233	-8.162219	1.267992	26.515705	22.92862	25.411	27.2	22.2
5	5_4	1232	-2.136938	-2.492776	26.598911	21.77597	14.494	28.1	21.7
5	5_4	1227	-1.882348	3.133667	30.037663	23.25797	26.439	31.6	23.5
5	5_4	1236	-8.226856	3.869726	30.909844	19.52823	0.472	32.4	24.8
5	5_4	1234	-5.647228	3.523083	31.410283	18.82074	0.227	33.1	26.3
5	5_4	1228	2.011207	9.223267	33.117496	24.56748	30.83	34.5	25.3
5	5_4	1230	5.638445	1.432424	43.817925	24.44327	22.61	45.3	26.2
5	5_5	1239	-4.954697	-0.07526	23.056321	22.12683	9.518	24.1	23.2
5	5_5	1243	4.909006	-1.689194	23.576813	22.41728	16.523	24.7	22.7
5	5_5	1238	-2.364821	-0.915588	24.104678	22.61201	17.156	24.6	23
5	5_5	1242	2.92746	-0.157995	24.374633	22.47382	14.585	25.8	23.3
5	5_5	1244	5.297174	-5.758274	24.983272	21.88032	15.818	25.8	23.1
5	5_5	1241	3.040004	2.162468	25.685061	22.57156	19.91	27.6	24.2
5	5_5	1240	-4.65546	4.880683	30.338153	22.68071	26.109	31.7	23.5
5	5_5	1237	-3.78627	-5.510489	31.547575	23.37153	16.546	37.2	24.4
86	86_1	1109	-0.429628	-2.483265	18.523363	20.68213	5.913	19.2	20.2
86	86_1	1106	0.437069	0.746211	20.387069	21.13914	8.121	20.5	22.9
86	86_1	1107	3.171406	-0.249303	21.787349	21.55439	9.696	22.9	22.7
86	86_1	1105	-0.386525	2.25596	21.888373	22.39183	7.972	22.6	23.4
86	86_1	1101	-2.618049	-2.293603	24.278914	23.06833	7.656	24.8	24.3
86	86_1	1103	-3.345045	1.627078	27.724276	24.05723	6.996	29.4	24.4
86	86_1	1102	-8.381612	-2.89694	27.789471	26.31667	11.635	29.7	27
86	86_1	1108	1.666932	-3.885184	31.275417	22.224	11.249	33	24.9
86	86_1	1104	-4.023138	4.02793	33.721881	25.79641	11.57	34.1	28.2
86	86_2	1115	-0.064396	-3.611916	18.674482	19.11464	9.439	20	19.5
86	86_2	1114	5.102635	-3.190005	21.320271	20.50312	7.458	22	17.1
86	86_2	1117	6.956854	-3.458972	24.634263	23.52064	5.163	26.2	23.8
86	86_2	1112	4.341349	2.755376	24.742605	20.35003	8.377	25.7	21
86	86_2	1118	-2.41954	-4.6058	25.12056	21.04261	8.412	27.2	22.1
86	86_2	1116	-2.60163	-1.340636	27.12651	21.82089	9.685	28.1	22.1
86	86_2	1110	1.243967	5.83743	27.142403	18.89859	5.114	27.5	19.9
86	86_2	1111	3.865013	6.372456	34.964151	25.08877	9.451	37.7	25.4
86	86_2	1113	5.267843	-0.895632	36.882703	23.2321	9.534	38.9	24.2
